COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd        1                 root    8u  unix 0xffff8cba0c915400      0t0  43344 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   10u  unix 0xffff8cb931d94000      0t0  22272 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   21u  unix 0xffff8cba07744c00      0t0  12234 /run/systemd/private type=STREAM (LISTEN)
systemd        1                 root   22u  unix 0xffff8cba07746c00      0t0  12236 /run/systemd/userdb/io.systemd.DynamicUser type=STREAM (LISTEN)
systemd        1                 root   23u  unix 0xffff8cba07747c00      0t0  12237 /run/systemd/io.systemd.ManagedOOM type=STREAM (LISTEN)
systemd        1                 root   24u  unix 0xffff8cb931d97c00      0t0  22273 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   25u  unix 0xffff8cb9011f6400      0t0  22355 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   26u  unix 0xffff8cba05ec5400      0t0  22357 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   27u  unix 0xffff8cb9011f7800      0t0  22356 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   47u  unix 0xffff8cba0c557800      0t0  17006 /run/systemd/io.systemd.ManagedOOM type=STREAM (CONNECTED)
systemd        1                 root   49u  unix 0xffff8cba2cb49000      0t0  43597 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   57u  unix 0xffff8cba08741800      0t0  28346 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   59u  unix 0xffff8cba06f6e800      0t0  43345 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   68u  unix 0xffff8cb9011f9800      0t0  44938 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   69u  unix 0xffff8cb9011f9c00      0t0  44939 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   78u  unix 0xffff8cba0cd30800      0t0  21366 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   80u  unix 0xffff8cba0c556c00      0t0  14156 type=DGRAM (CONNECTED)
systemd        1                 root   83u  unix 0xffff8cba0c543400      0t0  21316 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   90u  unix 0xffff8cba0562e400      0t0  21313 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   91u  unix 0xffff8cba07747800      0t0  12231 /run/systemd/notify type=DGRAM (CONNECTED)
systemd        1                 root   92u  unix 0xffff8cba07745800      0t0  12232 type=DGRAM (CONNECTED)
systemd        1                 root   93u  unix 0xffff8cba07745000      0t0  12233 type=DGRAM (CONNECTED)
systemd        1                 root   94u  unix 0xffff8cba0ac3dc00      0t0  19798 type=DGRAM (CONNECTED)
systemd        1                 root   95u  unix 0xffff8cb901205c00      0t0  22314 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   96u  unix 0xffff8cba0c542800      0t0  21610 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   97u  unix 0xffff8cb9011eac00      0t0  22365 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   98u  unix 0xffff8cb92a4b0000      0t0  29878 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   99u  unix 0xffff8cb92a4a3400      0t0  29887 /run/systemd/journal/stdout type=STREAM (CONNECTED)
