total 0
dr-x------ 2 meaow meaow 227 Nov 17 19:43 .
dr-xr-xr-x 9 meaow meaow   0 Nov 17 19:43 ..
lr-x------ 1 meaow meaow  64 Nov 17 19:43 0 -> /dev/null
lrwx------ 1 meaow meaow  64 Nov 17 19:43 1 -> socket:[27791]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 10 -> socket:[27797]
lr-x------ 1 meaow meaow  64 Nov 17 19:47 100 -> pipe:[28095]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 101 -> anon_inode:[pidfd]
lr-x------ 1 meaow meaow  64 Nov 17 19:47 102 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 103 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 104 -> anon_inode:sync_file
lrwx------ 1 meaow meaow  64 Nov 17 19:47 105 -> socket:[27336]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 106 -> socket:[27336]
lr-x------ 1 meaow meaow  64 Nov 17 19:47 107 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 108 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 109 -> anon_inode:sync_file
lrwx------ 1 meaow meaow  64 Nov 17 19:47 11 -> anon_inode:[eventfd]
lr-x------ 1 meaow meaow  64 Nov 17 19:47 110 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 111 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 112 -> anon_inode:sync_file
lrwx------ 1 meaow meaow  64 Nov 17 19:47 113 -> socket:[29450]
lr-x------ 1 meaow meaow  64 Nov 17 19:55 114 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 115 -> anon_inode:sync_file
lrwx------ 1 meaow meaow  64 Nov 17 19:47 116 -> socket:[29899]
lr-x------ 1 meaow meaow  64 Nov 17 19:47 117 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 118 -> anon_inode:sync_file
lr-x------ 1 meaow meaow  64 Nov 17 19:47 119 -> anon_inode:sync_file
