    PID USER     CGROUP
      1 root     0::/init.scope
      2 root     -
      3 root     -
      4 root     -
      5 root     -
      6 root     -
      7 root     -
      8 root     -
     10 root     -
     11 root     -
     12 root     -
     13 root     -
     14 root     -
     15 root     -
     16 root     -
     17 root     -
     18 root     -
     19 root     -
     20 root     -
     21 root     -
     22 root     -
     23 root     -
     24 root     -
     25 root     -
     26 root     -
     27 root     -
     29 root     -
     30 root     -
     31 root     -
     32 root     -
     33 root     -
     34 root     -
     35 root     -
     36 root     -
     37 root     -
     38 root     -
     39 root     -
     40 root     -
     41 root     -
     42 root     -
     43 root     -
     44 root     -
     46 root     -
     47 root     -
     48 root     -
     49 root     -
     50 root     -
     52 root     -
     53 root     -
     54 root     -
     55 root     -
     56 root     -
     57 root     -
     58 root     -
     59 root     -
     60 root     -
     61 root     -
     62 root     -
     63 root     -
     64 root     -
     65 root     -
     66 root     -
     67 root     -
     68 root     -
     71 root     -
     72 root     -
     73 root     -
     74 root     -
     75 root     -
     76 root     -
     77 root     -
     78 root     -
     79 root     -
     80 root     -
     81 root     -
     82 root     -
     83 root     -
     84 root     -
     85 root     -
     86 root     -
     87 root     -
     88 root     -
     89 root     -
     90 root     -
     91 root     -
     92 root     -
     93 root     -
     94 root     -
     95 root     -
     96 root     -
     97 root     -
     98 root     -
     99 root     -
    100 root     -
    101 root     -
    102 root     -
    103 root     -
    104 root     -
    105 root     -
    106 root     -
    107 root     -
    108 root     -
    109 root     -
    110 root     -
    111 root     -
    112 root     -
    113 root     -
    115 root     -
    116 root     -
    117 root     -
    118 root     -
    119 root     -
    126 root     -
    129 root     -
    131 root     -
    133 root     -
    134 root     -
    135 root     -
    148 root     -
    172 root     -
    175 root     -
    202 root     -
    203 root     -
    204 root     -
    205 root     -
    216 root     -
    217 root     -
    220 root     -
    221 root     -
    222 root     -
    223 root     -
    224 root     -
    225 root     -
    226 root     -
    227 root     -
    228 root     -
    229 root     -
    230 root     -
    231 root     -
    232 root     -
    233 root     -
    234 root     -
    235 root     -
    236 root     -
    237 root     -
    238 root     -
    239 root     -
    240 root     -
    241 root     -
    242 root     -
    243 root     -
    244 root     -
    245 root     -
    246 root     -
    247 root     -
    248 root     -
    249 root     -
    250 root     -
    251 root     -
